Record Date,Statement Fiscal Year,Restatement Flag,Agency Name,Gross Cost (in Billions),Earned Revenue (in Billions),Subtotal (in Billions),Change in Assumptions (in Billions),Net Cost (in Billions),Fiscal Year,Calendar Year
2022-09-30,2022,N,Department of Veterans Affairs,413.8,5.4,408.4,1526.5,1934.9,2022,2022
2022-09-30,2022,N,Department of Health and Human Services,1812.7,154.1,1658.6,1.4,1660,2022,2022
2022-09-30,2022,N,Department of Defense,979.6,47.6,932,527,1459,2022,2022
2022-09-30,2022,N,Social Security Administration,1294.4,0.3,1294.1,0,1294.1,2022,2022
2022-09-30,2022,N,Department of Education,595.1,55.6,539.5,0,539.5,2022,2022
2022-09-30,2022,N,Department of the Treasury,557.7,31.3,526.4,0,526.4,2022,2022
2022-09-30,2022,N,Interest on Treasury Securities held by the public,496.5,0,496.5,0,496.5,2022,2022
2022-09-30,2022,N,Office of Personnel Management,174.5,27.3,147.2,148.2,295.4,2022,2022
2022-09-30,2022,N,Department of Agriculture,250.5,9.6,240.9,0,240.9,2022,2022
2022-09-30,2022,N,Department of Transportation,116.4,1,115.4,0,115.4,2022,2022
2022-09-30,2022,N,Department of Homeland Security,102.2,14.8,87.4,1.2,88.6,2022,2022
2022-09-30,2022,N,Security Assistance Accounts,102.1,19.3,82.8,0,82.8,2022,2022
2022-09-30,2022,N,Small Business Administration,47.8,4.3,43.5,0,43.5,2022,2022
2022-09-30,2022,N,Department of Labor,42.4,0,42.4,0,42.4,2022,2022
2022-09-30,2022,N,Department of Justice,42.4,1.2,41.2,0,41.2,2022,2022
2022-09-30,2022,N,Department of State,40,4.8,35.2,3.4,38.6,2022,2022
2022-09-30,2022,N,Agency for International Development,29.5,0.1,29.4,0,29.4,2022,2022
2022-09-30,2022,N,Department of Energy,50.3,22.4,27.9,0,27.9,2022,2022
2022-09-30,2022,N,Department of Housing and Urban Development,28.2,1.9,26.3,0,26.3,2022,2022
2022-09-30,2022,N,Department of the Interior,28.3,2.6,25.7,0,25.7,2022,2022
2022-09-30,2022,N,National Aeronautics and Space Administration,22.3,0.3,22,0,22,2022,2022
2022-09-30,2022,N,Federal Communications Commission,16,0.4,15.6,0,15.6,2022,2022
2022-09-30,2022,N,Department of Commerce,15.8,4.2,11.6,0.1,11.7,2022,2022
2022-09-30,2022,N,Environmental Protection Agency,9.8,0.3,9.5,0,9.5,2022,2022
2022-09-30,2022,N,National Science Foundation,8.2,0,8.2,0,8.2,2022,2022
2022-09-30,2022,N,Railroad Retirement Board,8.2,0,8.2,0,8.2,2022,2022
2022-09-30,2022,N,National Railroad Retirement Investment Trust,4.7,1.1,3.6,0,3.6,2022,2022
2022-09-30,2022,N,United States Postal Service,78.7,76.2,2.5,0,2.5,2022,2022
2022-09-30,2022,N,Smithsonian Institution,1.7,0.1,1.6,0,1.6,2022,2022
2022-09-30,2022,N,Millennium Challenge Corporation,0.7,0,0.7,0,0.7,2022,2022
2022-09-30,2022,N,Securities and Exchange Commission,2.6,2.4,0.2,0,0.2,2022,2022
2022-09-30,2022,N,National Credit Union Administration,0.3,0.1,0.2,0,0.2,2022,2022
2022-09-30,2022,N,U.S. Nuclear Regulatory Commission,0.8,0.7,0.1,0,0.1,2022,2022
2022-09-30,2022,N,United States International Development Finance Corporation,0.3,0.2,0.1,0,0.1,2022,2022
2022-09-30,2022,N,Export-Import Bank of the United States,0,0.5,-0.5,0,-0.5,2022,2022
2022-09-30,2022,N,General Services Administration,0.3,0.9,-0.6,0,-0.6,2022,2022
2022-09-30,2022,N,Farm Credit System Insurance Corporation,0,0.6,-0.6,0,-0.6,2022,2022
2022-09-30,2022,N,Tennessee Valley Authority,11.3,12.4,-1.1,0,-1.1,2022,2022
2022-09-30,2022,N,Federal Deposit Insurance Corporation,1.9,8.2,-6.3,0,-6.3,2022,2022
2022-09-30,2022,N,Pension Benefit Guaranty Corporation,9.9,16.9,-7,0,-7,2022,2022
2022-09-30,2022,N,All other entities,22.1,2,20.1,0.1,20.2,2022,2022
2022-09-30,2022,N,Total,7420,531.1,6888.9,2207.9,9096.8,2022,2022
2022-09-30,2021,Y,Department of Veterans Affairs,351,3.9,347.1,346.3,693.4,2022,2022
