Start Year,Historical Event,,,,,
2000,Dot-com bubble,,,,,
2001,Dot-com bubble,,,,,
2002,Dot-com bubble,,,,,
2003,Dot-com bubble,,,,,
2001,September 11 Attacks,,,,,
2007,Financial Crisis,,,,,
2008,Financial Crisis,,,,,
2007,Subprime Mortgage Crisis,,,,,
2008,Subprime Mortgage Crisis,,,,,
2009,Subprime Mortgage Crisis,,,,,
2010,Subprime Mortgage Crisis,,,,,
2001,Afganistan War,,,,,
2002,Afganistan War,,,,,
2003,Afganistan War,,,,,
2004,Afganistan War,,,,,
2005,Afganistan War,,,,,
2006,Afganistan War,,,,,
2007,Afganistan War,,,,,
2008,Afganistan War,,,,,
2009,Afganistan War,,,,,
2010,Afganistan War,,,,,
2011,Afganistan War,,,,,
2012,Afganistan War,,,,,
2013,Afganistan War,,,,,
2014,Afganistan War,,,,,
2015,Afganistan War,,,,,
2016,Afganistan War,,,,,
2017,Afganistan War,,,,,
2018,Afganistan War,,,,,
2019,Afganistan War,,,,,
2020,Afganistan War,,,,,
2003,Iraq War,,,,,
2004,Iraq War,,,,,
2005,Iraq War,,,,,
2006,Iraq War,,,,,
2007,Iraq War,,,,,
2008,Iraq War,,,,,
2009,Iraq War,,,,,
2010,Iraq War,,,,,
2011,Iraq War,,,,,
2013,Iraq War,,,,,
2014,Iraq War,,,,,
2015,Iraq War,,,,,
2016,Iraq War,,,,,
2017,Iraq War,,,,,
2021,Iraq War,,,,,
2020,Chinese property crisis,,,,,
2021,Chinese property crisis,,,,,
2022,Chinese property crisis,,,,,
2023,Chinese property crisis,,,,,
2020,Covid-19 Recession,,,,,
2020,2020 Stock Market Crash,,,,,
2022,Russo-Ukraine War,,,,,
2023,Russo-Ukraine War,,,,,
